peakRSS_[KiB],runtime_[s],n_procs,n_threads,n_sites,n_taxa,n_alignments,omp_alg,full_command,datetime_of_run
47064,132.379,1,16,200000,6000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 16 --openmp-alg IM -redo,Thu Sep  4 02:20:51 UTC 2025
92872,165.064,2,8,200000,6000,48,IM,mpirun -np 2 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 8 --openmp-alg IM -redo,Thu Sep  4 02:23:07 UTC 2025
183800,190.457,4,4,200000,6000,48,IM,mpirun -np 4 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 4 --openmp-alg IM -redo,Thu Sep  4 02:25:56 UTC 2025
375300,290.903,8,2,200000,6000,48,IM,mpirun -np 8 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 2 --openmp-alg IM -redo,Thu Sep  4 02:29:12 UTC 2025
759344,153.064,16,1,200000,6000,48,IM,mpirun -np 16 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 1 --openmp-alg IM -redo,Thu Sep  4 02:34:06 UTC 2025
275348,220.797,1,16,6000,200000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 16 --openmp-alg EM -redo,Thu Sep  4 02:36:44 UTC 2025
540528,202.048,2,8,6000,200000,48,EM,mpirun -np 2 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 8 --openmp-alg EM -redo,Thu Sep  4 02:40:29 UTC 2025
1078400,208.164,4,4,6000,200000,48,EM,mpirun -np 4 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 4 --openmp-alg EM -redo,Thu Sep  4 02:43:55 UTC 2025
2155344,225.035,8,2,6000,200000,48,EM,mpirun -np 8 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 2 --openmp-alg EM -redo,Thu Sep  4 02:47:27 UTC 2025
4306724,151.520,16,1,6000,200000,48,EM,mpirun -np 16 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 1 --openmp-alg EM -redo,Thu Sep  4 02:51:16 UTC 2025
39836,173.258,1,16,200000,6000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 16 --openmp-alg EM -redo,Thu Sep  4 02:53:51 UTC 2025
97432,206.499,2,8,200000,6000,48,EM,mpirun -np 2 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 8 --openmp-alg EM -redo,Thu Sep  4 02:56:49 UTC 2025
182784,211.278,4,4,200000,6000,48,EM,mpirun -np 4 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 4 --openmp-alg EM -redo,Thu Sep  4 03:00:19 UTC 2025
358060,215.635,8,2,200000,6000,48,EM,mpirun -np 8 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 2 --openmp-alg EM -redo,Thu Sep  4 03:03:55 UTC 2025
718272,149.235,16,1,200000,6000,48,EM,mpirun -np 16 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 1 --openmp-alg EM -redo,Thu Sep  4 03:07:34 UTC 2025
